tag,zh
huge_balls,巨大睾丸
huge_butt,巨臀
human,人类
human_on_anthro,人类与兽人
human_penetrating,人类插入方
humanoid,类人生物
humanoid_feet,类人足部
humanoid_genitalia,类人生殖器
humanoid_hands,类人手部
humanoid_penis,类人阴茎
humanoid_pointy_ears,类人尖耳
hyper,超尺寸
hyper_balls,超尺寸睾丸
hyper_breasts,超尺寸胸部
hyper_genitalia,超尺寸生殖器
hyper_penis,超尺寸阴茎
incest_(lore),乱伦（设定）
inner_ear_fluff,耳内绒毛
inside,室内
intersex,双性
intersex/male,双性与雄性配对
japanese_text,日文文字
lagomorph,兔形目
larger_male,体型较大的雄性
leaking_cum,精液外流
legendary_pokemon,传说宝可梦
legwear,腿部服饰
leporid,兔科
looking_back_at_viewer,回头看向观众
looking_pleasured,陶醉表情
low-angle_view,低角度视角
male,雄性
male/female,男女配对
male/male,男男配对
male_anthro,雄性兽人
male_on_bottom,雄性在下方
male_penetrating,雄性插入方
male_penetrating_female,雄性插入雌性
male_penetrating_male,雄性插入雄性
mammal,哺乳动物
mammal_humanoid,哺乳类类人
marsupial,有袋类
mature_anthro,成熟兽人
melee_weapon,近战武器
membrane_(anatomy),膜（解剖）
membranous_wings,膜翼
moobs,男性胸部
mostly_nude,近乎全裸
mouth_closed,闭嘴
multicolored_body,多色身体
multiple_scenes,多画格
murid,鼠科
murine,鼠亚科
muscular_anthro,肌肉兽人
mustelid,鼬科
mythological_canine,神话犬类
mythological_equine,神话马类
mythological_scalie,神话鳞兽
mythology,神话
nails,指甲
nipple_outline,乳头轮廓
no_sound,无声音
non-mammal_breasts,非哺乳类胸部
non-mammal_nipples,非哺乳类乳头
not_furry,非兽人
nude_anthro,裸体兽人
nude_female,裸体雌性
nude_male,裸体雄性
on_bottom,在下方
on_top,在上方
open_smile,张嘴笑
oral_penetration,口部插入
orange_body,橙色身体
overweight_anthro,肥胖兽人
overweight_female,肥胖雌性
overweight_male,肥胖雄性
pantherine,豹亚科
parent_(lore),父母（设定）
partially_clothed,半裸着装
pastoral_dog,牧羊犬类
pattern_clothing,图案服装
penetration,插入
penile,阴茎相关
penile_masturbation,阴茎自慰
penile_penetration,阴茎插入
penis_in_ass,阴茎插入肛门
penis_in_vagina,阴茎插入阴道
pink_areola,粉色乳晕
pink_body,粉色身体
pink_nipples,粉色乳头
pink_penis,粉色阴茎
plantigrade,跖行
pokemon_(species),宝可梦（物种）
pokemorph,宝可梦拟人
prehistoric_species,史前物种
presenting_hindquarters,展示后臀
presenting_vulva,展示阴部
procyonid,浣熊科
pupils,瞳孔
purple_body,紫色身体
quadruped,四足
rear_view,后视角
red_body,红色身体
red_clothing,红色服装
reptile,爬行动物
rodent,啮齿动物
scalie,鳞兽
sex_toy_insertion,性玩具插入
shaded,有阴影
short_playtime,短时长动画
sibling_(lore),兄弟姐妹（设定）
skimpy,暴露
slightly_chubby,微胖
smaller_female,体型较小的雌性
smaller_male,体型较小的雄性
smaller_penetrated,体型较小的被插入方
smiling_at_viewer,对观众微笑
socks_(marking),袜状花纹
sonic_the_hedgehog_(series),索尼克系列
spotted_body,斑点身体
spreading,张开
squish,挤压
stripes,条纹
striped_body,条纹身体
striped_markings,条纹花纹
submissive,顺从
submissive_male,顺从雄性
swimwear,泳装
tail_markings,尾部花纹
tan_body,棕褐色身体
tan_fur,棕褐色毛发
three-quarter_portrait,四分之三构图
three-quarter_view,四分之三视角
tight_clothing,紧身衣物
toony,卡通风格
topless,上身裸露
topwear,上衣
traditional_media_(artwork),传统媒介作品
trio,三人
true_fox,狐属
tuft,毛簇
two-piece_swimsuit,两件式泳装
two_tone_body,双色身体
two_tone_fur,双色毛发
undertale_(series),传说之下系列
vaginal_fluids,阴道液
vehicle,交通工具
white_body,白色身体
white_clothing,白色服装
widescreen,宽屏画幅
yellow_body,黄色身体
young,幼年
young_anthro,幼年兽人
young_female,幼年雌性
young_male,幼年雄性
